0,Will,33,385
1,Jean-Luc,26,2
2,Hugh,55,221
3,Deanna,40,465
4,Quark,68,21
5,Weyoun,59,318
6,Gowron,37,220
7,Will,54,307
8,Jadzia,38,380
9,Hugh,27,181
10,Odo,53,191
11,Ben,57,372
12,Keiko,54,253
13,Jean-Luc,56,444
14,Hugh,43,49
15,Rom,36,49
16,Weyoun,22,323
17,Odo,35,13
18,Jean-Luc,45,455
19,Geordi,60,246
20,Odo,67,220
21,Miles,19,268
22,Quark,30,72
23,Keiko,51,271
24,Julian,25,1
25,Ben,21,445
26,Julian,22,100
27,Leeta,42,363
28,Martok,49,476
29,Nog,48,364
30,Keiko,50,175
31,Miles,39,161
32,Nog,26,281
33,Dukat,53,197
34,Jean-Luc,43,249
35,Beverly,27,305
36,Kasidy,32,81
37,Geordi,58,21
38,Deanna,64,65
39,Morn,31,192
40,Odo,52,413
41,Hugh,67,167
42,Brunt,54,75
43,Guinan,58,345
44,Nerys,35,244
45,Dukat,52,77
46,Morn,25,96
47,Brunt,24,49
48,Nog,20,1
49,Ezri,40,254
50,Quark,51,283
